noisy_error_mm,kabsch_error_mm,opt_no_filter_error_mm,opt_error_mm,kabsch_rotation_error_deg,opt_no_filter_rotation_error_deg,opt_rotation_error_deg,kabsch_translation_error_mm,opt_no_filter_translation_error_mm,opt_translation_error_mm,noisy_center_error_mm,kabsch_center_error_mm,opt_no_filter_center_error_mm,opt_center_error_mm
368.1625592556821,188.23137057121707,111.07171564480447,107.39379051720493,2.654455473289873,2.7388544483298634,2.7388544483293313,186.56864941973546,108.66135716844497,104.92274719797976,186.56864941973546,186.56864941973546,108.66135716844497,104.92274719797976
323.1745939510849,188.8121563710211,76.09782271506334,78.45005800899135,12.818677562338317,3.5199854405521838,3.5199854405521838,138.85804850818482,69.55379687716832,72.0419953131029,138.85804850818482,138.85804850818482,69.55379687716832,72.0419953131029
425.27906015139104,125.44878366409334,60.21686856275995,62.667630964761415,5.624220952207791,4.395359588894041,4.395359588894041,115.36370791722516,39.1415949102329,42.80382597291367,115.36370791722516,115.36370791722516,39.1415949102329,42.80382597291367
448.2918554644072,209.81837383068677,65.5551640096774,66.88284131668648,13.094902664632517,5.454265344175853,5.4542653441757185,160.11512762989864,25.08544292252698,28.72328489360402,160.1151276298989,160.1151276298989,25.085442922527122,28.723284893604067
522.0709424957365,225.61758961284727,77.21843952003046,76.64629116199296,15.636417818608132,6.519552019590508,6.519552019590508,149.19308900169878,30.84202714562904,29.475286083498283,149.19308900169878,149.19308900169878,30.84202714562904,29.475286083498283
455.0702527822815,212.1209187176409,96.39366070701992,95.51643408197835,13.811940481623706,7.860306425230332,7.860306425230332,162.64232831023267,47.2399679698283,43.919657587283446,162.64232831023267,162.6423283102326,47.23996796982833,43.919657587283446
493.16500073736273,210.12655389009743,127.85851785690872,127.57855356292133,11.066809280723657,9.944354804148645,9.944354804148645,185.0438119099068,67.33981052331976,65.58646989820618,185.0438119099069,185.0438119099069,67.33981052331963,65.586469898206
520.3330152931502,319.88769502091196,165.85879114488793,162.32743991088105,9.332983861597514,12.476858690152659,12.4768586901526,310.5438779258195,89.96661169464879,83.01777640775157,310.5438779258195,310.5438779258195,89.96661169464879,83.01777640775157
374.26681314819035,232.46357732780032,201.925348759307,197.66606893152917,7.787879036920532,15.74000759225133,15.74000759225133,221.99171403614983,98.97229777683171,90.71431878391212,221.99171403614983,221.99171403614983,98.97229777683171,90.71431878391212
394.55832911753146,174.33120638755466,235.52645682527788,234.29475129928622,8.393638379905205,19.646035286390298,19.646035286390298,156.84744651014395,94.03585377900927,91.09837501068226,156.84744651014395,156.84744651014395,94.03585377900927,91.09837501068226
475.05278674447993,318.61425457243774,278.5246542488339,279.02381859698835,24.639741186026466,24.40327634445635,24.40327634445632,205.25341569262736,88.90788359549293,89.20573017595275,205.25341569262736,205.25341569262736,88.90788359549282,89.20573017595287
368.31745643698997,235.87430741405646,335.814038186166,336.195813925934,18.211765349305814,30.26822015704043,30.26822015704043,139.627345565281,84.06330744815693,85.05315890586103,139.627345565281,139.6273455652811,84.06330744815693,85.05315890586135
510.45835208488256,315.2391786558954,401.5276162656496,401.7773516832116,21.458055865053268,37.0440199401085,37.04401994010848,234.56948831193182,73.03485739843022,74.49898144823773,234.56948831193182,234.56948831193182,73.0348573984303,74.49898144823773
